NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
College View - South Platte,8536,6254,1341,180,0,741,0,3,17,73.26616682,15.7099344,2.10871603,0,8.68088097,0,0.03514527,0.19915651,4645,3891,772,947,555,465,1719,1315,1503,1286,1081,884,463,243,42,2739,560,32.08762887,6.56044986,27.6,28.2,27,8065,2141,128,186,600,481,461,217,68,5924,3039,348,711,1382,184,414,4817,2149,1187,1074,407,7764,2890,4233,2437,2348,89,857,1491,2348,1647,940,707,210,497,701,523,178,502,100,165,157,88,166,70,151,35,239,196,194,87,90,72,36,34565,40582,15907,34565,40582,26216,30632,22750,25977,27128,23988,None,None,1973,0,10,237,216,133,893,202,368,301,77,731,822,195800,5283,3253,56,11,0,0,45,664,29,3,632,0,0,0,0,0,0,0,2533,2533,0,2533,0,0,38.4,32.54401943
Overland,3458,920,2015,354,62,52,0,0,55,26.60497397,58.27067669,10.23713129,1.7929439,1.5037594,0,0,1.59051475,1938,1520,151,165,157,37,316,229,1010,827,328,327,331,80,10,510,211,14.74840949,6.10179294,31.7,32.2,31.2,3332,562,31,64,34,111,66,173,83,2770,2144,250,1030,627,105,132,2621,361,473,675,1112,3307,2694,561,1718,1625,93,491,1134,1625,608,420,188,55,133,1017,611,406,174,47,85,41,55,69,83,53,62,207,133,323,130,85,41,37,54981,60109,33456,54981,60109,40646,43239,36721,None,26548,42568,52017,54271,1973,31,235,434,87,0,105,54,169,137,466,1182,1242,223000,3115,343,16,16,0,0,0,53,37,7,9,0,9,9,0,0,0,0,265,265,0,212,53,0,21,19.24342105
Ruby Hill,11402,7514,2249,498,0,846,2,0,293,65.73132379,19.39942709,4.86091553,0,7.13738004,0.02023882,0,2.85071474,5811,5591,679,868,1100,531,1547,1945,1510,1829,1467,1351,895,548,310,3178,1700,27.9718853,14.5128395,32.85,31.35,35.15,11041,2988,187,153,632,905,794,304,13,8053,5097,823,1967,1516,420,371,7120,2847,2276,1192,805,10723,4054,5386,3747,3618,129,1878,1740,3618,2320,1505,815,319,496,1298,1089,209,458,113,218,339,103,347,198,174,233,306,304,345,267,90,55,68,41812,47682,18098,41812,47682,29275,32103,22467,24868,27726,30604,48276,59054,1957,0,0,12,98,157,437,575,2080,326,62,812,880,188550,7328,4074,31,0,0,0,31,666,22,0,633,11,335,11,310,0,6,0,3042,3042,24,2943,75,0,16.95,11.00866558
Kennedy,4836,1643,1762,597,0,722,0,0,112,33.97435897,36.43507031,12.34491315,0,14.92969396,0,0,2.31596361,2576,2260,467,257,137,88,724,289,1280,1195,846,292,182,28,0,949,59,19.62365591,1.22001654,31.1,32.1,27.4,4602,1145,55,47,251,72,112,454,154,3457,2844,346,1259,732,314,193,3244,457,568,1150,1069,4369,2357,853,2627,2386,241,0,2386,2386,1035,580,455,221,234,1351,1081,270,91,141,169,242,301,102,269,110,170,250,189,219,41,19,73,0,36464,43613,23575,36464,43613,27433,30574,25727,21438,31309,25696,36307,50864,1980,0,153,447,149,554,1170,104,37,13,0,962,1079,None,3089,1747,63,0,0,0,63,788,84,530,16,158,317,173,76,0,68,0,579,579,0,386,193,0,17.8,12.17391304
Hampden,19400,2823,12250,2956,2,894,80,0,395,13.99985242,64.04580057,15.20220556,0.01304461,4.17868347,0.44203203,0,2.11838134,9540,9860,927,1227,780,422,2154,1309,3501,3118,2324,2385,2249,1517,843,3356,4375,17.028375,23.09930251,38.875,38.975,40.475,18804,3788,314,181,969,602,471,854,397,15016,10295,1906,4582,2745,461,601,14355,708,2786,4025,6836,18473,15332,1286,10305,9594,711,4187,5407,9594,4345,2891,1454,407,1047,5249,4321,928,572,471,498,419,407,604,393,559,462,1123,895,1106,566,518,475,526,54240,70033,39459,54240,70033,39876,40740,40584,None,36232,38543,37848,65107,1975,33,294,79,379,1919,5062,2207,185,85,62,1053,1172,284875,16835,2565,468,54,64,10,340,954,371,231,172,180,456,68,0,19,342,0,687,648,71,553,24,39,10.95,8.80587406
Baker,6136,1724,3886,106,0,117,0,0,303,28.09647979,63.33116037,1.72750978,0,1.90677966,0,0,4.9380704,3235,2901,413,448,144,0,861,203,1288,1863,677,504,500,153,87,1005,649,16.37874837,10.57692308,32.8,34.1,32.1,5908,1117,182,156,276,144,49,143,167,4791,3561,757,1594,959,123,128,4636,637,590,743,2666,5723,4339,1178,3129,2919,210,1259,1660,2919,1027,848,179,18,161,1892,1293,599,275,219,63,88,106,152,49,103,130,194,269,312,406,192,165,196,67996,83877,41564,67996,83877,45430,45278,46439,None,14375,31780,49268,68168,1939,101,139,290,0,70,46,305,296,150,1732,919,978,370100,5339,797,73,0,0,0,73,98,98,0,0,0,50,0,0,0,50,0,576,576,0,576,0,0,16.8,10.90555015
Fort Logan,9051,2553,5670,173,49,417,18,0,171,28.41461577,62.9996419,2.05659394,0.49814178,3.91780482,0.20407435,0,1.90912743,4404,4647,548,541,553,289,1089,952,1260,1057,1001,1282,1134,788,488,1931,2181,20.88914349,23.80667294,42.93333333,41.9,44.13333333,8685,2056,154,91,487,405,381,375,163,6629,3860,816,1278,1049,418,299,6567,597,1665,2081,2224,8503,7132,946,3453,3292,161,2417,875,3292,2352,1695,657,226,431,940,792,148,280,82,103,88,98,164,91,86,149,239,300,523,314,353,187,235,74912,86287,35118,74912,86287,42345,53607,35917,34238,38552,35288,55975,81875,1975.333333,5,106,93,435,238,1361,786,361,24,44,952,1108,333333,8395,656,87,8,25,0,54,269,39,37,193,0,4,0,0,0,0,0,296,282,0,220,62,14,9.43333333,6.87450436
Chaffee Park,3881,2285,1438,69,0,32,14,0,43,58.8765782,37.05230611,1.7778923,0,0.82452976,0.36073177,0,1.10796187,1908,1973,148,147,220,158,295,441,554,778,423,560,458,212,160,673,741,17.34089152,19.09301726,37.2,35.8,37.9,3781,804,54,35,101,191,147,95,181,2977,1845,335,841,408,179,82,2978,718,810,626,824,3733,2150,1516,1666,1602,64,1115,487,1602,826,665,161,40,121,776,648,128,101,140,40,94,88,44,153,54,74,70,212,212,141,114,25,40,52031,64227,29734,52031,64227,40184,42267,36953,27113,22128,37222,49000,64318,1949,36,88,30,37,33,70,122,315,817,118,1113,1206,229100,3092,789,6,0,6,0,0,32,25,0,7,0,5,5,0,0,0,0,746,746,0,746,0,0,9.7,6.41646489
Sunnyside,10048,4935,4465,272,156,115,0,9,96,50.24507188,43.18202611,2.84076518,1.58728823,1.07119929,0,0.10830273,0.96534659,4965,5083,661,541,604,249,1202,930,1736,2429,1137,1145,642,618,209,2055,1349,20.32505545,13.06954507,34.13333333,33.13333333,34.73333333,9565,2047,206,124,404,499,285,341,188,7518,5071,1003,2351,934,410,373,7445,1473,1677,1626,2669,9387,7140,2014,4340,4101,239,2165,1936,4101,2336,1314,1022,251,771,1765,1278,487,616,142,175,166,157,223,168,97,138,408,281,516,372,243,232,167,54296,58823,30269,54296,58823,39133,41154,36605,20883,27433,34840,57121,61523,1943,26,91,56,125,134,214,208,821,543,2122,751,834,331367,8953,1095,107,9,0,52,46,107,28,2,52,25,23,13,0,0,10,17,841,830,0,811,19,11,19.83333333,17.47755556
Highland,9001,1939,6553,128,181,118,0,0,82,22.81615208,71.64597535,1.44443701,1.8069534,1.37501087,0,0,0.91147129,4676,4325,342,283,395,214,625,681,1834,2289,1603,796,638,238,297,1234,1077,14.37739086,11.38740021,34.5,34.4,35.8,8753,1415,126,29,247,272,271,225,245,7338,5386,1442,2016,1337,369,222,7351,657,821,978,4895,8659,7275,1168,5268,4769,499,2088,2681,4769,1522,1092,430,181,249,3247,2377,870,305,212,54,276,183,173,93,97,139,162,492,599,512,331,586,555,80768,111648,57393,80768,111648,55252,63837,48456,35778,25601,37254,64128,71496,1956,326,479,688,207,215,263,281,368,242,2199,1467,1536,416400,8028,973,176,40,31,38,67,124,52,23,35,14,0,0,0,0,0,0,673,592,0,548,44,81,8.8,4.86754828
Globeville,4225,2413,1469,222,11,19,0,12,79,57.11242604,34.76923077,5.25443787,0.26035503,0.44970414,0,0.28402367,1.86982249,2413,1812,278,381,275,79,659,819,920,708,305,436,248,76,54,1013,282,23.97633136,6.67455621,28,26.6,30.1,4089,1455,30,72,309,243,79,716,6,2634,1748,317,796,510,31,94,2292,720,777,441,354,3947,2226,1596,1221,1134,87,469,665,1134,737,397,340,103,237,397,298,99,136,29,98,62,86,72,88,70,28,161,104,129,48,8,7,8,39808,45764,14745,39808,45764,27706,30508,24531,26604,27030,36065,28281,31146,1941,18,31,158,67,0,44,119,25,170,589,765,900,167700,3335,890,34,19,15,0,0,19,19,0,0,0,25,25,0,0,0,5,807,807,0,789,18,0,33.9,24.15196744
Jefferson Park,3248,1460,1612,42,25,89,0,0,20,44.95073892,49.63054187,1.29310345,0.76970443,2.74014778,0,0,0.61576355,1589,1659,177,129,63,55,306,141,970,1159,287,204,98,58,25,424,155,13.05418719,4.77216749,31.2,31.9,30.8,3125,592,17,0,95,27,91,206,156,2533,2068,495,1003,273,132,165,2649,643,381,389,1236,3071,1819,1111,1889,1744,145,396,1348,1744,641,463,178,72,106,1103,774,329,159,66,124,71,115,49,127,79,76,128,114,144,153,129,82,128,50682,46434,49988,50682,46434,34704,34792,34125,17807,18958,27000,53125,62258,1977,360,127,353,21,29,190,126,250,26,407,859,942,455600,2413,835,37,13,0,0,24,30,15,7,8,0,0,0,0,0,0,0,768,768,0,747,21,0,23.4,21.99687988
Sun Valley,1441,686,171,455,34,95,0,0,0,47.60582929,11.8667592,31.57529493,2.35947259,6.592644,0,0,0,743,698,340,197,174,82,537,338,156,137,90,37,109,2,35,793,106,55.03122831,7.35600278,15.5,11.8,24.7,1232,673,72,65,159,97,167,77,36,559,189,35,114,16,16,8,520,245,137,122,16,1101,640,209,493,459,34,39,420,459,295,53,242,14,228,164,157,7,255,37,57,33,21,27,10,0,7,12,0,0,0,0,0,0,9578,9719,4854,9578,9719,10152,20769,7794,None,None,None,None,None,1956,0,0,0,37,22,42,68,191,36,97,229,242,None,1151,290,1,0,0,0,1,144,0,8,95,41,111,45,66,0,0,0,34,34,0,34,0,0,80.6,74.91525424
Valverde,4238,3278,472,165,0,287,0,28,8,77.34780557,11.13732893,3.89334592,0,6.77206229,0,0.660689,0.18876829,2133,2105,300,515,308,190,815,565,411,682,633,527,305,196,104,1313,487,30.98159509,11.49126947,34.2,34.4,33.8,4082,1205,94,112,506,168,231,82,12,2877,1697,248,477,734,166,72,2622,1001,837,370,414,3938,1322,2259,1347,1306,41,632,674,1306,937,587,350,87,263,369,333,36,126,90,99,161,62,12,145,115,37,134,123,50,99,11,31,11,37407,43341,15842,37407,43341,27949,33185,21769,25000,28821,25603,30152,46651,1952,0,33,13,17,44,49,60,604,310,217,886,1011,190400,2659,1579,0,0,0,0,0,215,21,0,194,0,148,28,0,0,120,0,1216,1216,5,1163,48,0,16.7,17.28922092
Athmar Park,9746,6918,2095,163,56,420,10,6,78,70.94169262,21.79903763,1.61857924,0.65192084,3.9487879,0.09172629,0.05503577,0.89321971,5160,4586,600,800,761,334,1400,1332,1525,1589,1464,909,775,541,211,2495,1470,25.79397272,15.01196072,32.95,31.2,34.15,9340,2447,107,224,684,607,442,282,101,6893,4501,917,1553,1501,208,322,6490,2002,2079,1370,1039,9146,3944,4749,3152,3125,27,1851,1274,3125,2059,1258,801,334,467,1066,753,313,117,158,145,165,154,185,299,236,140,301,461,333,162,150,100,19,49194,50805,20184,49194,50805,31567,33668,24964,28028,24522,34204,46278,55030,1955,0,0,38,102,92,203,141,1951,459,166,1022,1210,203600,6965,2781,20,11,9,0,0,360,15,31,298,16,0,0,0,0,0,0,2401,2401,0,2400,1,0,16.2,14.21792556
Union Station,5878,520,4864,69,9,355,0,0,61,8.84654644,82.74923443,1.17386866,0.1531133,6.03946921,0,0,1.03776795,3568,2310,94,53,37,11,147,82,1389,1415,786,905,661,263,230,195,821,3.31745492,13.96733583,38.3,36.3,42.9,5801,550,17,15,38,37,11,180,252,5251,3655,1132,1419,752,262,90,5389,347,485,654,3903,5784,5193,91,4856,3946,910,1298,2648,3946,894,800,94,44,50,3052,2310,742,550,218,134,0,80,36,67,13,0,204,214,516,398,366,408,742,95921,132361,93564,95921,132361,76399,79306,73358,36309,19432,55774,73140,108309,2000,692,386,1402,335,516,417,153,129,18,808,1710,1759,557600,5315,563,161,79,15,0,67,357,281,51,25,0,0,0,0,0,0,26,19,19,0,0,19,0,15.5,13.64653244
Stapleton,21763,2180,15855,1770,61,818,0,54,1025,9.96995483,72.77923018,8.08277686,0.24129747,3.96926385,0,0.21360759,4.74386921,10503,11260,2533,2283,1534,310,4816,1896,1434,5628,4495,1608,1048,632,206,6660,1699,30.61481656,8.02761608,35.3,34.4,35.85,20196,5424,772,531,1782,1293,368,276,402,14772,8876,1441,4114,2430,704,187,14769,676,1727,2313,10053,19230,17336,1067,7455,7272,183,5292,1980,7272,5115,4168,947,275,672,2157,1705,452,208,108,102,120,145,93,139,136,184,336,398,747,711,894,1035,1916,127061,151926,51718,127061,151926,78853,91888,65573,5929,35857,42813,82359,93330,2008,1158,1733,4203,253,42,0,24,25,0,17,1592,1686,505550,20546,1217,278,92,51,15,120,511,306,43,129,33,116,108,0,8,0,9,303,244,42,184,18,59,3.3,1.55570831
Montbello,36176,22252,3875,7900,126,817,0,150,1056,61.80660242,11.00402304,21.33578055,0.37088619,2.32146738,0,0.3852099,2.77603052,17751,18425,2822,3803,3756,1807,6625,6909,5146,5335,4712,3600,2301,1110,438,12188,3307,33.94284588,9.1361049,28.83333333,28.48333333,29.06666667,34435,11796,500,566,3259,2989,2478,1907,97,22639,14503,2360,5756,3803,1161,1423,20090,7013,6315,4829,1933,33354,13492,18259,9164,8914,250,5440,3474,8914,7347,4674,2673,685,1988,1567,1269,298,589,313,368,505,462,534,525,455,606,693,981,1400,853,344,176,110,53788,52312,16956,53788,52312,30091,34446,24211,28664,29196,32508,33808,59364,1978.833333,0,14,919,1704,1541,3247,1364,233,105,37,1108,1283,194133,25424,10752,72,5,49,12,6,565,95,15,455,0,734,133,0,0,503,72,9309,9309,122,9090,97,0,20.66666667,18.25861403
Lowry Field,8593,1062,6405,474,43,384,0,31,194,12.35889678,74.53741417,5.51611777,0.50040731,4.46875364,0,0.36075876,2.25765158,3839,4754,418,584,574,258,1002,977,1088,1568,1157,1123,985,327,366,1834,1383,21.34295357,16.09449552,37.7,35.9,38.8,8294,2376,60,105,438,529,371,353,520,5918,4015,844,1706,1047,167,251,6273,153,527,885,4708,8175,6861,559,4273,3979,294,2117,1862,3979,2020,1581,439,115,324,1959,1624,335,96,127,133,219,222,79,39,183,125,259,375,447,289,239,442,705,82048,134808,56851,82048,134808,64688,78375,55617,None,41367,42946,57455,90738,2003,0,359,2403,871,71,117,75,139,34,204,1229,1375,527900,7650,943,291,90,108,13,80,109,79,0,15,15,212,41,0,0,0,0,331,269,13,84,172,62,7.7,5.69306931
West Colfax,9479,4417,3455,1059,72,149,12,15,300,46.77279122,36.70513368,10.87240645,0.77515937,1.49633864,0.11700468,0.14625585,3.11491011,4634,4845,898,538,446,195,1436,831,1849,1855,1049,941,633,598,287,2077,1407,21.50349804,15.49484428,32.7,32.8,33,8809,2038,221,80,421,333,332,527,124,6771,3979,731,1951,749,251,297,6435,1785,1430,1515,1705,8581,5627,2341,4381,3885,496,943,2942,3885,1804,964,840,279,561,2081,1502,579,815,287,417,386,127,157,175,147,147,163,264,286,196,94,112,112,27850,32795,23176,27850,32795,26890,32962,19354,16022,27885,19986,49573,52977,1963.5,168,160,170,243,302,693,631,896,462,656,734,772,350150,7849,1630,85,40,30,10,5,113,12,15,77,9,368,350,18,0,0,0,1064,1064,59,986,19,0,34,31.6315868
West Highland,8999,1085,7375,282,7,137,0,0,113,12.08353586,81.9679801,3.0931199,0.07653619,1.5356892,0,0,1.24313874,4328,4671,555,420,233,306,975,617,1486,2162,1380,932,693,538,216,1514,1336,16.78137379,14.84751457,36.5,36.6,36.35,8592,1535,116,104,295,188,373,259,200,7057,4997,868,2231,1288,476,134,7158,303,895,1297,4663,8444,7790,392,4585,4262,323,2758,1504,4262,1872,1434,438,110,328,2390,1716,674,72,188,44,135,296,117,110,238,168,200,255,572,387,408,412,660,89108,133412,63802,89108,133412,58324,69916,53178,31125,36655,40582,60772,72292,1944.5,16,72,527,134,168,117,134,428,466,2523,1028,1082,438650,8622,377,151,114,18,14,5,134,128,0,0,6,4,0,0,0,4,0,88,23,4,2,17,65,10.9,8.46997094
Sloan Lake,7934,2175,5020,418,41,116,6,0,158,22.90447501,68.64582852,5.27960492,0.34651792,1.19262171,0.14866204,0,1.48228988,4080,3854,530,389,304,154,919,617,835,1836,1477,812,802,411,225,1377,1334,17.36812903,15.37217276,38.5,36.95,39.4,7584,1433,197,73,323,156,243,208,233,6151,4098,665,1805,1090,283,255,6160,754,813,1100,3493,7404,6346,907,3942,3742,200,2222,1520,3742,1780,1212,568,134,434,1962,1466,496,479,319,105,85,129,99,132,87,129,191,210,504,211,217,372,473,80097,107886,53536,80097,107886,57559,63576,52422,23750,26234,40286,58920,67217,1951.5,66,100,136,118,229,532,251,676,650,1184,1078,1132,450300,7467,467,66,37,22,0,7,83,22,5,52,4,0,0,0,0,0,0,318,313,3,310,0,5,13.15,10.06392321
Berkeley,9198,2433,6371,69,13,150,0,31,131,25.98969218,69.17405013,0.96946476,0.1880787,1.51351881,0,0.44849537,1.71670005,4400,4798,736,224,241,251,960,543,1159,2085,1640,1130,1101,293,287,1452,1232,15.90373926,13.5445239,39.2,39.95,38.1,8642,1516,140,34,230,194,271,289,358,7126,4867,802,2248,1205,491,121,7419,654,1078,1339,4348,8462,7128,1199,4581,4338,243,3060,1278,4338,2213,1702,511,117,394,2125,1528,597,304,95,105,194,152,170,184,120,72,357,451,431,439,309,498,457,77070,104158,48438,77070,104158,56640,60282,48416,33812,26102,44479,66138,68131,1939,138,139,379,85,89,218,101,424,472,2536,976,1167,403000,8554,644,69,0,19,25,25,67,54,0,0,13,5,5,0,0,0,15,488,426,0,426,0,62,8.4,5.96416149
