,dayOfWeek,dayOfMonth,month,year,isWeekend,timestamp,isHolidayCA,isHolidayUS
263,7,21,9,2003,1,2003-09-21,0,0
264,1,22,9,2003,0,2003-09-22,0,0
265,2,23,9,2003,0,2003-09-23,0,0
266,3,24,9,2003,0,2003-09-24,0,0
267,4,25,9,2003,0,2003-09-25,0,0
268,5,26,9,2003,0,2003-09-26,0,0
269,6,27,9,2003,1,2003-09-27,0,0
270,7,28,9,2003,1,2003-09-28,0,0
271,1,29,9,2003,0,2003-09-29,0,0
272,2,30,9,2003,0,2003-09-30,0,0
273,3,1,10,2003,0,2003-10-01,0,0
274,4,2,10,2003,0,2003-10-02,0,0
275,5,3,10,2003,0,2003-10-03,0,0
276,6,4,10,2003,1,2003-10-04,0,0
277,7,5,10,2003,1,2003-10-05,0,0
278,1,6,10,2003,0,2003-10-06,0,0
279,2,7,10,2003,0,2003-10-07,0,0
280,3,8,10,2003,0,2003-10-08,0,0
281,4,9,10,2003,0,2003-10-09,0,0
282,5,10,10,2003,0,2003-10-10,0,0
283,6,11,10,2003,1,2003-10-11,0,0
284,7,12,10,2003,1,2003-10-12,0,0
285,1,13,10,2003,0,2003-10-13,1,1
286,2,14,10,2003,0,2003-10-14,0,0
287,3,15,10,2003,0,2003-10-15,0,0
288,4,16,10,2003,0,2003-10-16,0,0
289,5,17,10,2003,0,2003-10-17,0,0
290,6,18,10,2003,1,2003-10-18,0,0
291,7,19,10,2003,1,2003-10-19,0,0
292,1,20,10,2003,0,2003-10-20,0,0
293,2,21,10,2003,0,2003-10-21,0,0
294,3,22,10,2003,0,2003-10-22,0,0
295,4,23,10,2003,0,2003-10-23,0,0
296,5,24,10,2003,0,2003-10-24,0,0
297,6,25,10,2003,1,2003-10-25,0,0
298,7,26,10,2003,1,2003-10-26,0,0
299,1,27,10,2003,0,2003-10-27,0,0
300,2,28,10,2003,0,2003-10-28,0,0
301,3,29,10,2003,0,2003-10-29,0,0
302,4,30,10,2003,0,2003-10-30,0,0
303,5,31,10,2003,0,2003-10-31,0,0
304,6,1,11,2003,1,2003-11-01,0,0
305,7,2,11,2003,1,2003-11-02,0,0
306,1,3,11,2003,0,2003-11-03,0,0
307,2,4,11,2003,0,2003-11-04,0,0
308,3,5,11,2003,0,2003-11-05,0,0
309,4,6,11,2003,0,2003-11-06,0,0
310,5,7,11,2003,0,2003-11-07,0,0
311,6,8,11,2003,1,2003-11-08,0,0
312,7,9,11,2003,1,2003-11-09,0,0
313,1,10,11,2003,0,2003-11-10,0,0
314,2,11,11,2003,0,2003-11-11,0,1
315,3,12,11,2003,0,2003-11-12,0,0
316,4,13,11,2003,0,2003-11-13,0,0
317,5,14,11,2003,0,2003-11-14,0,0
318,6,15,11,2003,1,2003-11-15,0,0
319,7,16,11,2003,1,2003-11-16,0,0
320,1,17,11,2003,0,2003-11-17,0,0
321,2,18,11,2003,0,2003-11-18,0,0
322,3,19,11,2003,0,2003-11-19,0,0
323,4,20,11,2003,0,2003-11-20,0,0
324,5,21,11,2003,0,2003-11-21,0,0
325,6,22,11,2003,1,2003-11-22,0,0
326,7,23,11,2003,1,2003-11-23,0,0
327,1,24,11,2003,0,2003-11-24,0,0
328,2,25,11,2003,0,2003-11-25,0,0
329,3,26,11,2003,0,2003-11-26,0,0
330,4,27,11,2003,0,2003-11-27,0,1
331,5,28,11,2003,0,2003-11-28,0,0
332,6,29,11,2003,1,2003-11-29,0,0
333,7,30,11,2003,1,2003-11-30,0,0
334,1,1,12,2003,0,2003-12-01,0,0
335,2,2,12,2003,0,2003-12-02,0,0
336,3,3,12,2003,0,2003-12-03,0,0
337,4,4,12,2003,0,2003-12-04,0,0
338,5,5,12,2003,0,2003-12-05,0,0
339,6,6,12,2003,1,2003-12-06,0,0
340,7,7,12,2003,1,2003-12-07,0,0
341,1,8,12,2003,0,2003-12-08,0,0
342,2,9,12,2003,0,2003-12-09,0,0
343,3,10,12,2003,0,2003-12-10,0,0
344,4,11,12,2003,0,2003-12-11,0,0
345,5,12,12,2003,0,2003-12-12,0,0
346,6,13,12,2003,1,2003-12-13,0,0
347,7,14,12,2003,1,2003-12-14,0,0
348,1,15,12,2003,0,2003-12-15,0,0
349,2,16,12,2003,0,2003-12-16,0,0
350,3,17,12,2003,0,2003-12-17,0,0
351,4,18,12,2003,0,2003-12-18,0,0
352,5,19,12,2003,0,2003-12-19,0,0
353,6,20,12,2003,1,2003-12-20,0,0
354,7,21,12,2003,1,2003-12-21,0,0
355,1,22,12,2003,0,2003-12-22,0,0
356,2,23,12,2003,0,2003-12-23,0,0
357,3,24,12,2003,0,2003-12-24,0,0
358,4,25,12,2003,0,2003-12-25,1,1
359,5,26,12,2003,0,2003-12-26,1,0
360,6,27,12,2003,1,2003-12-27,0,0
361,7,28,12,2003,1,2003-12-28,0,0
362,1,29,12,2003,0,2003-12-29,0,0
363,2,30,12,2003,0,2003-12-30,0,0
364,3,31,12,2003,0,2003-12-31,0,0
365,4,1,1,2004,0,2004-01-01,1,1
366,5,2,1,2004,0,2004-01-02,0,0
367,6,3,1,2004,1,2004-01-03,0,0
368,7,4,1,2004,1,2004-01-04,0,0
369,1,5,1,2004,0,2004-01-05,0,0
370,2,6,1,2004,0,2004-01-06,0,0
371,3,7,1,2004,0,2004-01-07,0,0
372,4,8,1,2004,0,2004-01-08,0,0
373,5,9,1,2004,0,2004-01-09,0,0
374,6,10,1,2004,1,2004-01-10,0,0
375,7,11,1,2004,1,2004-01-11,0,0
376,1,12,1,2004,0,2004-01-12,0,0
377,2,13,1,2004,0,2004-01-13,0,0
378,3,14,1,2004,0,2004-01-14,0,0
379,4,15,1,2004,0,2004-01-15,0,0
380,5,16,1,2004,0,2004-01-16,0,0
381,6,17,1,2004,1,2004-01-17,0,0
382,7,18,1,2004,1,2004-01-18,0,0
383,1,19,1,2004,0,2004-01-19,0,1
384,2,20,1,2004,0,2004-01-20,0,0
385,3,21,1,2004,0,2004-01-21,0,0
386,4,22,1,2004,0,2004-01-22,0,0
387,5,23,1,2004,0,2004-01-23,0,0
388,6,24,1,2004,1,2004-01-24,0,0
389,7,25,1,2004,1,2004-01-25,0,0
390,1,26,1,2004,0,2004-01-26,0,0
391,2,27,1,2004,0,2004-01-27,0,0
392,3,28,1,2004,0,2004-01-28,0,0
393,4,29,1,2004,0,2004-01-29,0,0
394,5,30,1,2004,0,2004-01-30,0,0
395,6,31,1,2004,1,2004-01-31,0,0
396,7,1,2,2004,1,2004-02-01,0,0
397,1,2,2,2004,0,2004-02-02,0,0
398,2,3,2,2004,0,2004-02-03,0,0
399,3,4,2,2004,0,2004-02-04,0,0
400,4,5,2,2004,0,2004-02-05,0,0
401,5,6,2,2004,0,2004-02-06,0,0
402,6,7,2,2004,1,2004-02-07,0,0
403,7,8,2,2004,1,2004-02-08,0,0
404,1,9,2,2004,0,2004-02-09,0,0
405,2,10,2,2004,0,2004-02-10,0,0
406,3,11,2,2004,0,2004-02-11,0,0
407,4,12,2,2004,0,2004-02-12,0,0
408,5,13,2,2004,0,2004-02-13,0,0
409,6,14,2,2004,1,2004-02-14,0,0
410,7,15,2,2004,1,2004-02-15,0,0
411,1,16,2,2004,0,2004-02-16,0,1
412,2,17,2,2004,0,2004-02-17,0,0
413,3,18,2,2004,0,2004-02-18,0,0
414,4,19,2,2004,0,2004-02-19,0,0
415,5,20,2,2004,0,2004-02-20,0,0
416,6,21,2,2004,1,2004-02-21,0,0
417,7,22,2,2004,1,2004-02-22,0,0
418,1,23,2,2004,0,2004-02-23,0,0
419,2,24,2,2004,0,2004-02-24,0,0
420,3,25,2,2004,0,2004-02-25,0,0
421,4,26,2,2004,0,2004-02-26,0,0
422,5,27,2,2004,0,2004-02-27,0,0
423,6,28,2,2004,1,2004-02-28,0,0
424,7,29,2,2004,1,2004-02-29,0,0
425,1,1,3,2004,0,2004-03-01,0,0
426,2,2,3,2004,0,2004-03-02,0,0
427,3,3,3,2004,0,2004-03-03,0,0
428,4,4,3,2004,0,2004-03-04,0,0
429,5,5,3,2004,0,2004-03-05,0,0
430,6,6,3,2004,1,2004-03-06,0,0
431,7,7,3,2004,1,2004-03-07,0,0
432,1,8,3,2004,0,2004-03-08,0,0
433,2,9,3,2004,0,2004-03-09,0,0
434,3,10,3,2004,0,2004-03-10,0,0
435,4,11,3,2004,0,2004-03-11,0,0
436,5,12,3,2004,0,2004-03-12,0,0
437,6,13,3,2004,1,2004-03-13,0,0
438,7,14,3,2004,1,2004-03-14,0,0
439,1,15,3,2004,0,2004-03-15,0,0
440,2,16,3,2004,0,2004-03-16,0,0
441,3,17,3,2004,0,2004-03-17,0,0
442,4,18,3,2004,0,2004-03-18,0,0
443,5,19,3,2004,0,2004-03-19,0,0
444,6,20,3,2004,1,2004-03-20,0,0
445,7,21,3,2004,1,2004-03-21,0,0
446,1,22,3,2004,0,2004-03-22,0,0
447,2,23,3,2004,0,2004-03-23,0,0
448,3,24,3,2004,0,2004-03-24,0,0
449,4,25,3,2004,0,2004-03-25,0,0
450,5,26,3,2004,0,2004-03-26,0,0
451,6,27,3,2004,1,2004-03-27,0,0
452,7,28,3,2004,1,2004-03-28,0,0
453,1,29,3,2004,0,2004-03-29,0,0
454,2,30,3,2004,0,2004-03-30,0,0
455,3,31,3,2004,0,2004-03-31,0,0
456,4,1,4,2004,0,2004-04-01,0,0
457,5,2,4,2004,0,2004-04-02,0,0
458,6,3,4,2004,1,2004-04-03,0,0
459,7,4,4,2004,1,2004-04-04,0,0
460,1,5,4,2004,0,2004-04-05,0,0
461,2,6,4,2004,0,2004-04-06,0,0
462,3,7,4,2004,0,2004-04-07,0,0
463,4,8,4,2004,0,2004-04-08,0,0
464,5,9,4,2004,0,2004-04-09,1,0
465,6,10,4,2004,1,2004-04-10,0,0
466,7,11,4,2004,1,2004-04-11,0,0
467,1,12,4,2004,0,2004-04-12,0,0
468,2,13,4,2004,0,2004-04-13,0,0
469,3,14,4,2004,0,2004-04-14,0,0
470,4,15,4,2004,0,2004-04-15,0,0
471,5,16,4,2004,0,2004-04-16,0,0
472,6,17,4,2004,1,2004-04-17,0,0
473,7,18,4,2004,1,2004-04-18,0,0
474,1,19,4,2004,0,2004-04-19,0,0
475,2,20,4,2004,0,2004-04-20,0,0
476,3,21,4,2004,0,2004-04-21,0,0
477,4,22,4,2004,0,2004-04-22,0,0
478,5,23,4,2004,0,2004-04-23,0,0
479,6,24,4,2004,1,2004-04-24,0,0
480,7,25,4,2004,1,2004-04-25,0,0
481,1,26,4,2004,0,2004-04-26,0,0
482,2,27,4,2004,0,2004-04-27,0,0
483,3,28,4,2004,0,2004-04-28,0,0
484,4,29,4,2004,0,2004-04-29,0,0
485,5,30,4,2004,0,2004-04-30,0,0
486,6,1,5,2004,1,2004-05-01,0,0
487,7,2,5,2004,1,2004-05-02,0,0
488,1,3,5,2004,0,2004-05-03,0,0
489,2,4,5,2004,0,2004-05-04,0,0
490,3,5,5,2004,0,2004-05-05,0,0
491,4,6,5,2004,0,2004-05-06,0,0
492,5,7,5,2004,0,2004-05-07,0,0
493,6,8,5,2004,1,2004-05-08,0,0
494,7,9,5,2004,1,2004-05-09,0,0
495,1,10,5,2004,0,2004-05-10,0,0
496,2,11,5,2004,0,2004-05-11,0,0
497,3,12,5,2004,0,2004-05-12,0,0
498,4,13,5,2004,0,2004-05-13,0,0
499,5,14,5,2004,0,2004-05-14,0,0
500,6,15,5,2004,1,2004-05-15,0,0
501,7,16,5,2004,1,2004-05-16,0,0
502,1,17,5,2004,0,2004-05-17,0,0
503,2,18,5,2004,0,2004-05-18,0,0
504,3,19,5,2004,0,2004-05-19,0,0
505,4,20,5,2004,0,2004-05-20,0,0
506,5,21,5,2004,0,2004-05-21,0,0
507,6,22,5,2004,1,2004-05-22,0,0
508,7,23,5,2004,1,2004-05-23,0,0
509,1,24,5,2004,0,2004-05-24,1,0
510,2,25,5,2004,0,2004-05-25,0,0
511,3,26,5,2004,0,2004-05-26,0,0
512,4,27,5,2004,0,2004-05-27,0,0
513,5,28,5,2004,0,2004-05-28,0,0
514,6,29,5,2004,1,2004-05-29,0,0
515,7,30,5,2004,1,2004-05-30,0,0
516,1,31,5,2004,0,2004-05-31,0,1
517,2,1,6,2004,0,2004-06-01,0,0
518,3,2,6,2004,0,2004-06-02,0,0
519,4,3,6,2004,0,2004-06-03,0,0
520,5,4,6,2004,0,2004-06-04,0,0
521,6,5,6,2004,1,2004-06-05,0,0
522,7,6,6,2004,1,2004-06-06,0,0
523,1,7,6,2004,0,2004-06-07,0,0
524,2,8,6,2004,0,2004-06-08,0,0
525,3,9,6,2004,0,2004-06-09,0,0
526,4,10,6,2004,0,2004-06-10,0,0
527,5,11,6,2004,0,2004-06-11,0,0
528,6,12,6,2004,1,2004-06-12,0,0
529,7,13,6,2004,1,2004-06-13,0,0
530,1,14,6,2004,0,2004-06-14,0,0
531,2,15,6,2004,0,2004-06-15,0,0
532,3,16,6,2004,0,2004-06-16,0,0
533,4,17,6,2004,0,2004-06-17,0,0
534,5,18,6,2004,0,2004-06-18,0,0
535,6,19,6,2004,1,2004-06-19,0,0
536,7,20,6,2004,1,2004-06-20,0,0
537,1,21,6,2004,0,2004-06-21,0,0
538,2,22,6,2004,0,2004-06-22,0,0
539,3,23,6,2004,0,2004-06-23,0,0
540,4,24,6,2004,0,2004-06-24,0,0
541,5,25,6,2004,0,2004-06-25,0,0
542,6,26,6,2004,1,2004-06-26,0,0
543,7,27,6,2004,1,2004-06-27,0,0
544,1,28,6,2004,0,2004-06-28,0,0
545,2,29,6,2004,0,2004-06-29,0,0
546,3,30,6,2004,0,2004-06-30,0,0
547,4,1,7,2004,0,2004-07-01,1,0
548,5,2,7,2004,0,2004-07-02,0,0
549,6,3,7,2004,1,2004-07-03,0,0
550,7,4,7,2004,1,2004-07-04,0,1
551,1,5,7,2004,0,2004-07-05,0,1
552,2,6,7,2004,0,2004-07-06,0,0
553,3,7,7,2004,0,2004-07-07,0,0
554,4,8,7,2004,0,2004-07-08,0,0
555,5,9,7,2004,0,2004-07-09,0,0
556,6,10,7,2004,1,2004-07-10,0,0
557,7,11,7,2004,1,2004-07-11,0,0
558,1,12,7,2004,0,2004-07-12,0,0
559,2,13,7,2004,0,2004-07-13,0,0
560,3,14,7,2004,0,2004-07-14,0,0
561,4,15,7,2004,0,2004-07-15,0,0
562,5,16,7,2004,0,2004-07-16,0,0
563,6,17,7,2004,1,2004-07-17,0,0
564,7,18,7,2004,1,2004-07-18,0,0
565,1,19,7,2004,0,2004-07-19,0,0
566,2,20,7,2004,0,2004-07-20,0,0
567,3,21,7,2004,0,2004-07-21,0,0
568,4,22,7,2004,0,2004-07-22,0,0
569,5,23,7,2004,0,2004-07-23,0,0
570,6,24,7,2004,1,2004-07-24,0,0
571,7,25,7,2004,1,2004-07-25,0,0
572,1,26,7,2004,0,2004-07-26,0,0
573,2,27,7,2004,0,2004-07-27,0,0
574,3,28,7,2004,0,2004-07-28,0,0
575,4,29,7,2004,0,2004-07-29,0,0
576,5,30,7,2004,0,2004-07-30,0,0
577,6,31,7,2004,1,2004-07-31,0,0
578,7,1,8,2004,1,2004-08-01,0,0
